season,strategy,numSimulations,avgROI,medianROI,pctAbove0,pctAbove5,bestROI,worstROI,volatility,avgInvestedCapital,avgFinalValue,randomDeltaROI,randomDeltaPctAbove5
2019/20,RANDOM,500,-10.3908,-10.5411,12.2,5.2,16.8714,-38.1703,9.1297,218.2841,195.558,0,0
2019/20,LOW_COST,500,-8.4322,-8.4808,18.8,9,25.6447,-37.6499,9.7502,171.2233,156.524,1.9586,3.8
2019/20,TOP_PLAYER,500,-12.1267,-11.9936,4.6,1.4,16.1765,-34.7166,8.2139,320.7084,281.9657,-1.7359,-3.8
2019/20,BALANCED,500,-9.4215,-9.4034,13.4,5.4,16.7072,-31.7728,8.8386,216.75,196.5335,0.9693,0.2
2019/20,VALUE,500,-3.876,-3.9574,27.4,8,13.9545,-23.6247,6.3248,133.5792,128.382,6.5148,2.8
2019/20,ROLE_WEIGHTED,500,-6.2847,-5.9861,18.6,4.8,20.0205,-26.4274,7.1648,173.8733,162.8186,4.1061,-0.4
2019/20,HISTORICAL_MOMENTUM,500,-10.3372,-10.603,11.4,4.4,16.4978,-33.3511,8.6839,218.2229,195.7713,0.0536,-0.8
2020/21,RANDOM,500,-5.3197,-4.6069,25.4,14.2,20.6734,-34.6754,9.288,197.676,186.2521,0,0
2020/21,LOW_COST,500,-2.4599,-2.9744,37,18.4,24.565,-32.6705,8.3112,159.0302,154.7995,2.8598,4.2
2020/21,TOP_PLAYER,500,-10.927,-10.5532,7.8,1.6,11.866,-35.2947,8.15,316.6692,281.2635,-5.6073,-12.6
2020/21,BALANCED,500,-5.742,-5.2649,25,9.4,21.8698,-31.4306,8.7324,197.7209,186.1688,-0.4223,-4.8
2020/21,VALUE,500,2.7486,2.4527,65,35.2,24.6961,-12.5603,6.1809,115.3763,118.5145,8.0683,21
2020/21,ROLE_WEIGHTED,500,-10.8689,-10.8917,7,1.4,13.4125,-36.3372,7.2457,364.0645,323.7885,-5.5493,-12.8
2020/21,HISTORICAL_MOMENTUM,500,-6.7105,-6.6269,23.2,9.8,23.3614,-34.8252,9.5365,207.5149,192.8035,-1.3908,-4.4
2021/22,RANDOM,500,-5.8615,-5.3041,25,8.2,24.76,-32.3035,8.3021,207.8964,194.7224,0,0
2021/22,LOW_COST,500,-2.8333,-2.9409,35.6,15.2,21.3487,-32.1519,7.6821,163.2367,158.1979,3.0282,7
2021/22,TOP_PLAYER,500,-11.1592,-10.8475,3.6,0.6,6.9264,-30.9237,7.0823,325.429,288.5303,-5.2976,-7.6
2021/22,BALANCED,500,-5.6162,-5.595,23.8,7.8,15.9481,-28.4333,7.3912,204.7874,193.1131,0.2453,-0.4
2021/22,VALUE,500,3.8434,3.7169,70,41.6,22.187,-12.1876,6.6242,115.4885,119.9214,9.7049,33.4
2021/22,ROLE_WEIGHTED,500,-4.1044,-4.0686,25.8,9.4,17.4334,-22.7985,6.6453,197.5312,189.1963,1.7571,1.2
2021/22,HISTORICAL_MOMENTUM,500,-6.5908,-6.4918,21.4,8.2,23.9785,-32.0635,8.2631,210.5015,196.1411,-0.7293,0
2022/23,RANDOM,500,-12.2167,-11.5522,9.2,3,16.8806,-40.6229,9.4839,216.036,188.4266,0,0
2022/23,LOW_COST,500,-6.9018,-7.0438,20.4,8.4,15.9138,-35.1407,8.3187,168.3592,156.2823,5.315,5.4
2022/23,TOP_PLAYER,500,-18.394,-18.625,0.6,0,2.6442,-38.1337,7.8239,332.9035,270.9248,-6.1772,-3
2022/23,BALANCED,500,-12.4691,-12.9485,7.4,1.8,13.6863,-34.0812,8.3271,213.6655,186.7093,-0.2524,-1.2
2022/23,VALUE,500,0.2626,0.2306,51,25.6,18.4951,-16.7473,6.8111,127.0696,127.2848,12.4793,22.6
2022/23,ROLE_WEIGHTED,500,-8.9097,-9.1375,7.2,1.4,6.7475,-23.7532,5.9119,208.643,189.7366,3.307,-1.6
2022/23,HISTORICAL_MOMENTUM,500,-12.8177,-12.8382,6.8,1.8,16.6577,-39.0007,8.5372,219.8671,190.5731,-0.601,-1.2
2023/24,RANDOM,500,-7.9963,-8.1356,16.6,5.6,14.0507,-32.1487,8.0289,197.0273,180.4786,0,0
2023/24,LOW_COST,500,-3.8543,-3.7459,33.6,15.4,20.2911,-33.3092,8.6918,156.8413,150.2657,4.142,9.8
2023/24,TOP_PLAYER,500,-12.1835,-11.9748,3.8,0.6,8.527,-36.3587,7.1236,308.2828,270.1176,-4.1872,-5
2023/24,BALANCED,500,-7.1071,-7.2479,18.6,7.2,18.8438,-28.8134,8.101,196.4826,182.3274,0.8892,1.6
2023/24,VALUE,500,6.6509,6.4978,90,60.4,20.8898,-9.9301,5.3306,114.0503,121.546,14.6472,54.8
2023/24,ROLE_WEIGHTED,500,-12.9383,-13.1916,4.8,1.2,8.4635,-35.5468,7.8324,266.5994,231.5307,-4.9421,-4.4
2023/24,HISTORICAL_MOMENTUM,500,-8.2972,-8.2734,15.4,5.6,16.9091,-31.7919,8.3475,205.8829,187.6941,-0.301,0
2024/25,RANDOM,500,-6.234,-6.5749,26.8,12.6,21.8363,-34.4419,10.0775,182.1944,169.3016,0,0
2024/25,LOW_COST,500,-1.0181,-0.5266,47.4,22.8,28.0492,-22.8852,8.168,143.5283,141.593,5.216,10.2
2024/25,TOP_PLAYER,500,-15.0436,-15.8543,4.4,1.4,17.5839,-36.8068,8.2789,307.2934,259.5957,-8.8095,-11.2
2024/25,BALANCED,500,-5.6047,-5.8116,26,13.6,21.1555,-30.6925,9.2131,178.1369,167.5535,0.6294,1
2024/25,VALUE,500,6.4905,6.4388,89.8,59.4,21.5122,-7.5375,5.1584,97.9873,104.2627,12.7246,46.8
2024/25,ROLE_WEIGHTED,500,-13.6275,-14.4135,7.4,2.4,13.2273,-37.3759,9.1627,251.9441,216.4161,-7.3935,-10.2
2024/25,HISTORICAL_MOMENTUM,500,-6.8052,-6.5079,25.2,10.2,18.0016,-35.4802,9.3325,184.0712,170.1088,-0.5712,-2.4