scenario,scenarioLabel,sellFeePct,strategy,avgROI,medianROI,bestROI,worstROI,pctAbove0,pctAbove7,pctAbove10,avgTrades,avgCommissions,avgPlatformRevenue,avgDeltaVsHold
A,Vendita 1.25% (originale),1.25,HOLD,5.30,5.30,8.54,2.05,100.00,50.00,0.00,0.00,0.8565,0.0856,0.00
A,Vendita 1.25% (originale),1.25,VALUE_ROTATION,-24.63,-24.63,4.02,-57.14,11.11,0.00,0.00,24.00,4.1027,0.4103,-29.93
A,Vendita 1.25% (originale),1.25,MOMENTUM,-57.48,-57.48,-18.99,-89.80,0.00,0.00,0.00,24.00,21.0409,2.1041,-62.77
A,Vendita 1.25% (originale),1.25,STOP_LOSS,4.59,4.59,8.54,-2.22,83.33,50.00,0.00,0.17,0.8650,0.0865,-0.71
A,Vendita 1.25% (originale),1.25,TAKE_PROFIT,-37.40,-37.40,-22.41,-50.90,0.00,0.00,0.00,8.11,18.7447,1.8745,-42.69
A,Vendita 1.25% (originale),1.25,HYBRID_VALUE_MOMENTUM,-15.04,-15.04,2.66,-28.89,22.22,0.00,0.00,5.83,1.4712,0.1471,-20.34
B,Vendita 2.00% (V1 proposto),2.00,HOLD,4.50,4.50,7.72,1.28,100.00,50.00,0.00,0.00,1.0644,0.1064,0.00
B,Vendita 2.00% (V1 proposto),2.00,VALUE_ROTATION,-25.34,-25.34,3.14,-57.64,11.11,0.00,0.00,24.00,4.9803,0.4980,-29.84
B,Vendita 2.00% (V1 proposto),2.00,MOMENTUM,-57.80,-57.80,-19.60,-89.88,0.00,0.00,0.00,24.00,25.5922,2.5592,-62.30
B,Vendita 2.00% (V1 proposto),2.00,STOP_LOSS,3.79,3.79,7.72,-2.98,83.33,50.00,0.00,0.17,1.0740,0.1074,-0.71
B,Vendita 2.00% (V1 proposto),2.00,TAKE_PROFIT,-37.88,-37.88,-23.00,-51.28,0.00,0.00,0.00,8.11,22.6222,2.2622,-42.37
B,Vendita 2.00% (V1 proposto),2.00,HYBRID_VALUE_MOMENTUM,-15.78,-15.78,1.75,-29.50,22.22,0.00,0.00,5.83,1.7852,0.1785,-20.28